First Name,Last Name,ORCID,Research Theme,Academic Rank,Practicing Clinician,Degrees
Anna,Lehman,0000-0003-0636-123X,Childhood Diseases,Associate Professor,Y,MD
Peter C.K.,Leung,0000-0003-3152-3800,Healthy Starts,Professor,,PhD 
Lise A.,Leveille,0000-0003-1727-7375,Evidence to Innovation,Clinical Instructor,,MD 
Megan,Levings,0000-0002-0305-5790,Childhood Diseases,Professor,,PhD 
Suzanne,Lewis,0000-0002-6300-5381,"Brain, Behaviour & Development",Clinical Professor,Y,MD
Chinten James,Lim,0000-0001-6381-7585,Childhood Diseases,,N,PhD
Kenneth I,Lim,,Healthy Starts,,Y,MD
Sarka,Lisonkova,0000-0002-1220-310X,Healthy Starts,Assistant Professor,,MD | PhD 
Roslyn,Livingstone,0000-0001-5256-7904,Evidence to Innovation,Clinical Instructor,Y,MSc 
Christine,Loock,,"Brain, Behaviour & Development",Associate Professor,Y,MD  
Christine,Loong,,Childhood Diseases,Clinical Instructor,,Registered Dietitian
Elena,Lopez-Rangel,,"Brain, Behaviour & Development",Clinical Assistant Professor,,MD   
Dan S,Luciani,0000-0002-4318-4159,Childhood Diseases,Associate Professor,,PhD 
Jeffrey,Ludemann,0000-0003-4043-3970,Evidence to Innovation,Clinical Professor,Y,MD  
Francis,Lynn,0000-0001-9318-1063,Childhood Diseases,Professor,,MD  
Christopher,Lyons,,Evidence to Innovation,Professor,Y,MD  
Janet,Lyons,0000-0002-6247-4186,Healthy Starts,Clinical Associate Professor,Y,MD  
Sai,Ma,0000-0002-7638-9900,Healthy Starts,Associate Professor,,PhD 
David,MacDonald,,Childhood Diseases,Professor,,Dentist
Stuart M,MacLeod,0000-0001-9574-830X,Childhood Diseases,Professor,,MD | PhD  
Andrew Eaton,MacNeily,0000-0001-8395-1458,Evidence to Innovation,Professor,Y,MD 
Laura,Magee,0000-0002-1355-610X,Healthy Starts,Affiliate Professor,,MD 
Janet,Mah,0000-0001-7706-6890,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,
Paula,Mahon,0000-0002-5616-6670,Evidence to Innovation,Clinical Assistant Professor,Y,DHealth | RN
Stephan,Malherbe,0000-0003-1052-4054,Evidence to Innovation,Clinical Associate Professor,,MD
Cherry,Mammen,0000-0002-8389-8746,Evidence to Innovation,Clinical Assistant Professor,Y,MD
Louise C,Masse,0000-0003-2483-8791,Evidence to Innovation,Professor,,PhD 
John S.T.,Masterson,0000-0002-0347-1540,Evidence to Innovation,Clinical Professor,Y,MD
Douglas,Matsell,0000-0003-4530-8554,Healthy Starts,Professor,Y,MD
Allison,Matthews,0000-0001-8394-0337,Childhood Diseases,Clinical Assistant Professor,,PhD 
Christopher,Maxwell,0000-0002-0713-7136,Childhood Diseases,Associate Professor,,PhD 
Melanie,McConnell,0000-0001-5497-7130,"Brain, Behaviour & Development",Clinical Instructor,,PhD 
Patrick,McDonald,0000-0002-7083-3927,"Brain, Behaviour & Development",Associate Professor,Y,MD  
Theresa,McElroy,0000-0002-9337-0590,Evidence to Innovation,Clinical Assistant Professor,Y,PhD
Deborah E,McFadden,0000-0002-0629-3436,Healthy Starts,Clinical Professor,Y,MD 
Maggie,McIlwaine,0000-0002-4646-3209,Evidence to Innovation,Clinical Associate Professor,Y,PhD 
Margaret L.,McKinnon,,Childhood Diseases,Clinical Assistant Professor,Y,MD 
Robert J,McMahon,0000-0002-4034-5818,"Brain, Behaviour & Development",Professor,,PhD  
Garth,Meckler,0000-0002-6057-0465,Evidence to Innovation,Associate Professor,Y,MD
Daniel L,Metzger,0000-0002-1715-4319,Childhood Diseases,Clinical Professor,Y,MD 
Anton R,Miller,0000-0002-6509-2589,"Brain, Behaviour & Development",Clinical Associate Professor,Y,MD
Stacey D.,Miller,0000-0001-6170-1845,Evidence to Innovation,Clinical Assistant Professor,Y,MRSc
Firoz,Miyanji,,Evidence to Innovation,Clinical Associate Professor,,MD  
Kimberly,Morishita,0000-0002-1389-4002,Childhood Diseases,Clinical Assistant Professor,Y,MD  
Sara,Mostafavi,0000-0003-4698-1177,Healthy Starts,Assistant Professor,,PhD 
Kishore,Mulpuri,0000-0002-7713-6278,Evidence to Innovation,Associate Professor,,MD
Srinivas,Murthy,0000-0002-9476-839X,Healthy Starts,Clinical Associate Professor,Y,MD 
Tanya,Nelson,0000-0001-5344-3516,Childhood Diseases,Clinical Professor,,PhD
Theresa,Newlove,,Healthy Starts,Adjunct Professor,Y,PhD | Registered Psychologist
Tonia,Nicholls,0000-0002-5989-4665,"Brain, Behaviour & Development",Professor,,PhD 
Wendy V.,Norman,0000-0003-4340-7882,Healthy Starts,Associate Professor,Y,MD
Tim,Oberlander,0000-0003-4781-6579,"Brain, Behaviour & Development",Professor,Y,MD  
Gina,Ogilvie,0000-0001-5783-4493,Healthy Starts,Professor,Y,MD | PhD  
Horacio,Osiovich,0000-0001-5290-2565,Evidence to Innovation,Clinical Professor,Y,MD 
Constadina,Panagiotopoulos,0000-0002-1379-7472,Childhood Diseases,Clinical Professor,Y,MD  
William,Panenka,0000-0001-7143-6512,"Brain, Behaviour & Development",Assistant Professor,Y,MD   
Millan,Patel,0000-0001-7061-6837,Childhood Diseases,Clinical Professor,Y,MD  
Erika,Penner,0000-0002-3347-702X,"Brain, Behaviour & Development",,Y,PhD | Registered Psychologist
Cheryl,Peters,0000-0002-0634-8863,Evidence to Innovation,Clinical Instructor,Y,MD
Ian,Pike,0000-0002-6860-7760,Evidence to Innovation,Professor,N,PhD  
Hannah,Piper,0000-0002-8379-2271,Healthy Starts,Clinical Associate Professor,,MD 
Alexander,Pitfield,0000-0003-3184-2625,Evidence to Innovation,Clinical Assistant Professor,,MD  
Benjamin,Pliska,0000-0002-8935-7203,Evidence to Innovation,Assistant Professor,,Dentist
Oana-Eugenia,Popescu,0000-0002-2033-883X,Childhood Diseases,Clinical Assistant Professor,Y,MD 
Elodie,Portales-Casamar,0000-0002-9998-7858,Evidence to Innovation,Clinical Assistant Professor,N,PhD 
Ric,Procyshyn,0000-0002-4348-0855,"Brain, Behaviour & Development",Clinical Professor,,PharmD | PhD  
Nadine,Provencal,0000-0002-2079-8393,Healthy Starts,,,PhD 
Denise,Pugash,0000-0002-4093-8920,Healthy Starts,Clinical Professor,Y,MD  
Evica,Rajcan-Separovic,0000-0002-4528-7135,Healthy Starts,Clinical Professor,,PhD 
Bojana,Rakic,0000-0002-3460-6081,Childhood Diseases,Clinical Assistant Professor,,PhD
Manon,Ranger,0000-0001-8253-0686,Healthy Starts,Assistant Professor,N,PhD
Rod,Rassekh,0000-0001-8005-2641,Evidence to Innovation,Clinical Assistant Professor,,MD 
Alexander,Rauscher,0000-0002-1961-8252,"Brain, Behaviour & Development",Associate Professor,,PhD 
Meera,Rayar,0000-0002-5079-8124,Evidence to Innovation,Clinical Assistant Professor,,MD 
Jonathan,Rayment,0000-0003-4955-8876,Childhood Diseases,Clinical Assistant Professor,,MD
Gregor,Reid,0000-0002-7567-3424,Childhood Diseases,Associate Professor,,PhD 
Christopher,Reilly,0000-0002-7012-1604,Evidence to Innovation,Associate Professor,,MD  
Eleanor,Reimer,0000-0002-4274-6287,Evidence to Innovation,Clinical Professor,Y,MD  
Urs,Ribary,0000-0002-1182-8052,"Brain, Behaviour & Development",Professor,,PhD 
Ashley,Roberts,0000-0002-6273-542X,Healthy Starts,Clinical Assistant Professor,Y,MD
Julie,Robillard,0000-0001-5765-4927,Evidence to Innovation,Assistant Professor,,PhD 
Wendy,Robinson,0000-0002-2010-6174,Healthy Starts,Professor,,PhD 
Colin,Ross,0000-0003-1476-7037,Evidence to Innovation,Assistant Professor,,PhD
Jacob,Rozmus,0000-0003-4036-2105,Childhood Diseases,Assistant Professor,Y,MD | PhD 
Vikram,Sabhaney,0000-0002-9460-2998,Evidence to Innovation,Clinical Assistant Professor,Y,MD 
Manish,Sadarangani,0000-0002-9985-6452,Healthy Starts,Assistant Professor,Y,MD | PhD 
Ramona,Salvarinova Zivkovic,,Childhood Diseases,Clinical Assistant Professor,,MD
Shubhayan,Sanatani,0000-0001-9296-7400,Childhood Diseases,Associate Professor,Y,MD 
George,Sandor,0000-0002-9930-5140,Childhood Diseases,Professor Emeritus/a,,MD
Laura,Sauvé,0000-0003-2341-9018,Healthy Starts,Clinical Assistant Professor,Y,MD  
David W,Scheifele,0000-0001-6078-7843,Healthy Starts,Professor Emeritus/a,,MD  
Kamilla,Schlade-Bartusiak,0000-0003-3226-7423,Childhood Diseases,Clinical Associate Professor,,PhD
Dewi,Schrader,0000-0003-0173-2716,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,MD
Richard,Schreiber,,Evidence to Innovation,Clinical Professor,Y,MD  
Kirk,Schultz,0000-0002-0001-6438,Childhood Diseases,Professor,,MD 
Claire,Seaton,0000-0002-9404-165X,Evidence to Innovation,Clinical Associate Professor,,MD 
Michael,Seear,0000-0002-5899-7208,Healthy Starts,Clinical Professor,Y,MD 
Kathryn A,Selby,0000-0001-9239-1704,Childhood Diseases,Clinical Assistant Professor,Y,MD 
Christof,Senger,,Healthy Starts,Clinical Assistant Professor,Y,MD  
Sandesh,Shivananda,0000-0001-5323-1900,Evidence to Innovation,Associate Professor,,MD
Harold,Siden,0000-0001-8419-8912,"Brain, Behaviour & Development",Clinical Professor,Y,MD 
Elizabeth M,Simpson,0000-0002-0654-4303,"Brain, Behaviour & Development",Professor,,PhD
Graham,Sinclair,0000-0002-3815-2005,Childhood Diseases,Clinical Professor,,PhD
Ashutosh,Singhal,0000-0002-0061-9570,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,MD   
Erik D,Skarsgard,0000-0003-3713-8196,Evidence to Innovation,Professor,Y,MD  
Peter,Skippen,0000-0001-6716-0381,Evidence to Innovation,Clinical Professor,Y,MD 
Amanda,Skoll,0000-0001-5413-9102,Healthy Starts,Associate Professor,,MD 
Laura,Sly,0000-0002-1673-467X,Childhood Diseases,Assistant Professor,,PhD
Penny,Sneddon,0000-0003-1293-1374,"Brain, Behaviour & Development",Clinical Assistant Professor,Y,PhD | Registered Psychologist
Alfonso,Solimano,0000-0002-1427-0840,Healthy Starts,Clinical Professor,Y,MD  
Poul,Sorensen,,Childhood Diseases,Professor,,MD | PhD 
Patricia,Spittal,0000-0000-0000-0000,Healthy Starts,Professor,,PhD 
Jocelyn,Srigley,0000-0002-0030-7665,Evidence to Innovation,Clinical Assistant Professor,Y,MD   
Paul,Steinbok,0000-0003-3371-0378,"Brain, Behaviour & Development",Professor,Y,MD 
Ted,Steiner,0000-0002-3136-6668,Childhood Diseases,Professor,,MD 
S. Evelyn,Stewart,0000-0002-0994-6383,"Brain, Behaviour & Development",Associate Professor,Y,MD
Sylvia,Stockler,0000-0002-6542-423X,Childhood Diseases,Professor,Y,MD 
Caron,Strahlendorf,0000-0001-9940-4926,Childhood Diseases,Clinical Associate Professor,Y,MD 
Anne R,Synnes,0000-0002-6917-0978,"Brain, Behaviour & Development",Clinical Professor,Y,MD 
Mandeep,Tamber,0000-0003-3329-1011,Evidence to Innovation,Clinical Associate Professor,,MD | PhD  
Sandy,Tatla,0000-0001-5708-2666,Evidence to Innovation,Clinical Instructor,Y,MSc 
Stefan,Taubert,0000-0002-2432-7257,Healthy Starts,Associate Professor,,PhD 
Jefferson,Terry,0000-0001-5464-8679,Healthy Starts,Clinical Assistant Professor,Y,MD | PhD 
Allen,Thornton,0000-0002-9942-0122,"Brain, Behaviour & Development",Professor,,PhD | Registered Psychologist
Glen F.,Tibbits,0000-0002-2586-3115,Childhood Diseases,Professor,N,PhD  
Peter,Tilley,0000-0002-7170-4537,Healthy Starts,Clinical Professor,Y,MD  
Joseph,Ting,0000-0002-5246-8823,Evidence to Innovation,Clinical Associate Professor,Y,MD 
Christine,Tipper,0000-0003-1666-9203,"Brain, Behaviour & Development",Clinical Assistant Professor,,PhD
Lori B.,Tucker,0000-0002-4314-6750,Childhood Diseases,Clinical Professor,Y,MD 
Stuart,Turvey,0000-0003-1599-1065,Healthy Starts,Professor,Y,MD | PhD  
Bruce A,Vallance,0000-0003-1345-6747,Childhood Diseases,Professor,,PhD 
Hilary D,Vallance,0000-0003-1734-1445,Childhood Diseases,Clinical Professor,Y,MD 
Margot I.,Van Allen,,Childhood Diseases,Professor,Y,MD  
Tamara,Vanderwal,0000-0002-8774-9430,"Brain, Behaviour & Development",Assistant Professor,Y,MD 
Suzanne,Vercauteren,0000-0003-2224-0307,Childhood Diseases,Clinical Associate Professor,Y,MD | PhD  
Bruce,Verchere,0000-0002-9262-0586,Childhood Diseases,Professor,,PhD 
Cynthia,Verchere,0000-0002-8284-1975,Evidence to Innovation,Clinical Professor,Y,MD 
Dzung X.,Vo,0000-0001-9330-1803,"Brain, Behaviour & Development",Clinical Associate Professor,,MD 
Li,Wang,0000-0002-3460-2080,Healthy Starts,Clinical Assistant Professor,Y,MD  
Wyeth,Wasserman,0000-0001-6098-6412,Evidence to Innovation,Professor,N,PhD
Eric,Webber,0000-0002-6108-6288,Evidence to Innovation,Associate Professor,Y,MD 
David,Wensley,,Evidence to Innovation,Clinical Professor,Y,MD 
Simon,Whyte,0000-0002-8590-3916,Evidence to Innovation,Clinical Associate Professor,Y,MD 
Tiffany,Wong,0000-0003-3870-9114,Evidence to Innovation,Clinical Assistant Professor,Y,MD  
Jonathan,Wong,0000-0001-6489-358X,Evidence to Innovation,Clinical Assistant Professor,,MD
Todd,Woodward,0000-0001-8083-0079,"Brain, Behaviour & Development",Professor,,PhD
John,Wu,0000-0002-6002-4878,Childhood Diseases,Clinical Professor,Y,MD
Connie,Yang,0000-0003-2060-3290,Childhood Diseases,Clinical Assistant Professor,Y,MD  
Paul,Yong,0000-0001-5521-3052,Healthy Starts,Assistant Professor,Y,MD | PhD  
Jill,Zwicker,0000-0002-2986-6938,"Brain, Behaviour & Development",Associate Professor,Y,PhD
Christele,du Souich,,Childhood Diseases,Clinical Assistant Professor,,MSc  | Genetic Counsellor
Clara,van Karnebeek,0000-0003-3352-5631,Childhood Diseases,Affiliate Associate Professor,,MD | PhD
Peter,van den Elzen,0000-0003-3933-4780,Childhood Diseases,Assistant Professor,,MD 
Peter,von Dadelszen,0000-0003-4136-3070,Healthy Starts,Affiliate Professor,,MD | PhD